"","ID","n.x","num_positive.x","sensitivity.x","specificity.x","auc.x","n.y","num_positive.y","sensitivity.y","specificity.y","auc.y","n.x.x","num_positive.x.x","sensitivity.x.x","specificity.x.x","auc.x.x","n.y.y","num_positive.y.y","sensitivity.y.y","specificity.y.y","auc.y.y","n","num_positive","sensitivity","specificity","auc"
"1","Trap 2","31","0",NA,"0.967741935483871","0.915131890716913","23","0",NA,"1","0.905647690165319","24","0",NA,"1","0.907812704330591","24","0",NA,"1","0.90446755706046","32","0",NA,"1","0.908786732079779"
"2","Trap 10","57","0",NA,"1","0.915131890716913","58","0",NA,"1","0.905647690165319","63","0",NA,"1","0.907812704330591","62","0",NA,"1","0.90446755706046","69","0",NA,"1","0.908786732079779"
"3","Trap 23","16","0",NA,"1","0.915131890716913","17","0",NA,"1","0.905647690165319","21","0",NA,"1","0.907812704330591","12","0",NA,"1","0.90446755706046","15","0",NA,"1","0.908786732079779"
"4","Trap 25","39","0",NA,"1","0.915131890716913","40","0",NA,"1","0.905647690165319","49","0",NA,"1","0.907812704330591","57","0",NA,"1","0.90446755706046","32","0",NA,"1","0.908786732079779"
"5","Trap 31","2","0",NA,"1","0.915131890716913","2","0",NA,"1","0.905647690165319","4","0",NA,"1","0.907812704330591","1","0",NA,"1","0.90446755706046","4","0",NA,"1","0.908786732079779"
"6","Trap 30","2","0",NA,"1","0.915131890716913",NA,NA,NA,NA,NA,"1","0",NA,"1","0.907812704330591","1","0",NA,"1","0.90446755706046","1","0",NA,"1","0.908786732079779"
"7","Trap 38","1","0",NA,"1","0.915131890716913",NA,NA,NA,NA,NA,"3","0",NA,"1","0.907812704330591","1","0",NA,"1","0.90446755706046","1","0",NA,"1","0.908786732079779"
"8","Trap 44","52","0",NA,"0.903846153846154","0.915131890716913","54","0",NA,"0.962962962962963","0.905647690165319","48","0",NA,"0.958333333333333","0.907812704330591","54","0",NA,"0.981481481481482","0.90446755706046","65","1","0","1","0.908786732079779"
"9","Trap 52","8","0",NA,"1","0.915131890716913","3","0",NA,"1","0.905647690165319","7","0",NA,"1","0.907812704330591","10","0",NA,"1","0.90446755706046","6","0",NA,"1","0.908786732079779"
"10","Trap 58","4","0",NA,"1","0.915131890716913","3","0",NA,"1","0.905647690165319","3","0",NA,"1","0.907812704330591","7","0",NA,"1","0.90446755706046","8","0",NA,"1","0.908786732079779"
