"n","num_positive","MajorLC","AVG_IMP","AVG_CANPY","TPOP2020","HSgradPct","FamPovPct","Pct_HUocc","ClassBest_Pct","Class_21Pct","Class_22Pct","Class_23Pct","Class_24Pct","Black_Perc","White_Perc","HispOrTwo_Perc","perc_positive"
273,2,"22",33.86,2.64,6544,96.5,2.4,96.6187329965021,37.26,1.93,37.26,34.36,3.19,1.5281173594132,88.6919315403423,13.7836185819071,0.732600732600733
267,4,"23",56.64,2.97,8142,76.9,27.4,83.5699797160243,39.58,3.76,25.77,39.58,30.89,69.0985015966593,5.28125767624662,30.7541144681896,1.49812734082397
66,9,"22",43.79,5.53,5165,83.4,17,94.95841995842,49.08,6.2,49.08,27.78,14.13,3.27202323330107,59.3804453049371,57.405614714424,13.6363636363636
268,5,"22",13.73,41.1,3032,96.5,2.9,94.5515507124895,41.02,16.89,41.02,3.38,0.48,1.78100263852243,86.0817941952507,12.5,1.86567164179104
352,15,"23",33.42,7.61,10973,89.1,23.7,91.036036036036,28.46,3.43,21.98,28.46,21.98,96.6554269570765,0.565023238859018,3.39925271120022,4.26136363636364
194,6,"23",67.88,1.25,14729,86.5,13.8,91.4009661835749,55.45,0.19,4.05,55.45,40.31,90.3795233892321,2.89225337769027,8.57492022540566,3.09278350515464
112,5,"90",8.31,47.64,6748,94,4.8,95.8422500764292,25.56,22.54,21.27,0.98,0,2.45998814463545,87.5074096028453,13.3521043272081,4.46428571428571
320,23,"23",48.62,6.14,14852,92,6.6,95.2813920677222,59.32,4.83,27.63,59.32,8.21,15.8093186102882,62.9746835443038,31.0059251279289,7.1875
173,3,"23",48.39,5.78,16883,93.3,6.2,93.5237831091388,44.82,3.1,38.63,44.82,12.2,45.2822365693301,46.579399395842,11.1710004146183,1.73410404624277
101,2,"23",39.47,1.8,18745,94.4,3.9,95.7058581424064,38.22,13.8,37.55,38.22,10.42,8.04481194985329,76.2123232862097,24.1504401173646,1.98019801980198
286,33,"22",36.81,5.84,17149,95.4,4.7,95.0836072602544,42.76,14.77,42.76,37.26,5.12,18.2459618636655,71.0012245611989,16.0942328998775,11.5384615384615
284,9,"23",57.04,3.08,18069,85.3,17.6,84.3924925913731,75.51,0.1,8.49,75.51,15.91,91.7870385743539,2.97194089324257,6.9843378161492,3.16901408450704
