COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W28,H1500W29,H1500W30,H1500W31,H1500W32,H1500W33,H1500W34,H1500W35,H1500W36,H1500W37,H1500W38,H1500W39,H1500W40,H1500W41,H1500W42,H3000W27,H3000W29,H3000W30,H3000W31,H3000W32,H3000W33,H3000W34,H3000W35,H3000W36,H3000W37,H3000W38,H3000W39,H3000W40,H3000W41,H3000W42
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.178226,37.002359,Culex,33,2005,ALEXANDER_33_2005,ALX 1,8/16/05,PID191880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.178226,37.002359,Culex,33,2005,ALEXANDER_33_2005,ALX 2,8/16/05,PID191881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.178226,37.002359,Culex,33,2005,ALEXANDER_33_2005,ALX 3,8/16/05,PID191882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.178226,37.002359,Culex,33,2005,ALEXANDER_33_2005,ALX4,8/16/05,PID191886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.178226,37.002359,Culex,34,2005,ALEXANDER_34_2005,ALX5,8/22/05,PID191887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.178226,37.002359,Culex,34,2005,ALEXANDER_34_2005,ALX6,8/22/05,PID191888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.178226,37.002359,Culex,33,2005,ALEXANDER_33_2005,UNI 4,8/16/05,PID191890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,33,2005,PULASKI_33_2005,PUL1,8/16/05,PID193148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,33,2005,PULASKI_33_2005,PUL2,8/16/05,PID193152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,33,2005,PULASKI_33_2005,PUL3,8/16/05,PID193154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,33,2005,PULASKI_33_2005,PUL4,8/16/05,PID193156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
