COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W11,H1500W19,H1500W10,H1500W11,H1500W11,H1500W11,H1500W14,H1500W15,H1500W16,H1500W17,H1500W19,H1000W11,H1000W17,H1000W19,H1000W10,H1000W11,H1000W11,H1000W11,H1000W14,H1000W15,H1000W16,H1000W17,H1000W18,H1000W19,H1000W40
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,29,2006,ALEXANDER_29_2006,ALX2,7/19/06,PID191884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,29,2006,ALEXANDER_29_2006,ALX3,7/19/06,PID191885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,34,2006,PULASKI_34_2006,PUL1GP,8/23/06,PID193151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,34,2006,PULASKI_34_2006,PUL2GP,8/23/06,PID193153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62953,MASSAC,GRAVID TRAP,37,Female,VECWNV,NEGATIVE,0,-88.642666,37.156169,Culex,36,2006,MASSAC_36_2006,MA-5,9/6/06,PID192694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62996,PULASKI,GRAVID TRAP,8,Female,VECWNV,NEGATIVE,0,-89.193111,37.158731,Culex,31,2006,PULASKI_31_2006,PU-18,8/2/06,PID194497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62960,MASSAC,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.740003,37.162503,Culex,26,2006,MASSAC_26_2006,MA-1,6/26/06,PID193105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62960,MASSAC,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.740003,37.162503,Culex,28,2006,MASSAC_28_2006,MA-2,7/11/06,PID193111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62960,MASSAC,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.740003,37.162503,Culex,33,2006,MASSAC_33_2006,MA-3,8/18/06,PID193116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62960,MASSAC,GRAVID TRAP,37,Female,VECWNV,NEGATIVE,0,-88.740003,37.162503,Culex,35,2006,MASSAC_35_2006,MA-4,8/28/06,PID193120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62960,MASSAC,GRAVID TRAP,7,Female,VECWNV,NEGATIVE,0,-88.740003,37.162503,Culex,36,2006,MASSAC_36_2006,MA-6,9/6/06,PID193121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62990,ALEXANDER,GRAVID TRAP,21,Female,VECWNV,NEGATIVE,0,-89.459014,37.22783,Culex,29,2006,ALEXANDER_29_2006,ALX1,7/19/06,PID194418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-89.033387,37.266739,Culex,34,2006,PULASKI_34_2006,PO-05,8/21/06,PID192743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,14,Female,VECWNV,NEGATIVE,0,-89.033387,37.266739,Culex,24,2006,PULASKI_24_2006,PU-1,6/15/06,PID192750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,17,Female,VECWNV,NEGATIVE,0,-89.033387,37.266739,Culex,30,2006,PULASKI_30_2006,PU-16,7/28/06,PID192762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,14,Female,VECWNV,NEGATIVE,0,-89.033387,37.266739,Culex,24,2006,PULASKI_24_2006,PU-2,6/15/06,PID192768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,14,Female,VECWNV,NEGATIVE,0,-89.033387,37.266739,Culex,31,2006,PULASKI_31_2006,PU-22,8/2/06,PID192772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,21,Female,VECWNV,NEGATIVE,0,-89.033387,37.266739,Culex,36,2006,PULASKI_36_2006,PU-24,9/5/06,PID192774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.033387,37.266739,Culex,25,2006,PULASKI_25_2006,PU-4,6/20/06,PID192778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,38,Female,VECWNV,NEGATIVE,0,-89.033387,37.266739,Culex,26,2006,PULASKI_26_2006,PU-5,6/29/06,PID192779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62992,PULASKI,GRAVID TRAP,11,Female,VECWNV,NEGATIVE,0,-89.075057,37.286582,Culex,31,2006,PULASKI_31_2006,PU-19,7/31/06,PID194439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,25,Female,VECWNV,NEGATIVE,0,-88.976427,37.289983,Culex,27,2006,PULASKI_27_2006,PU-13,7/7/06,PID192757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,28,Female,VECWNV,NEGATIVE,0,-88.976427,37.289983,Culex,31,2006,PULASKI_31_2006,PU-20,8/2/06,PID192769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
