COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W25,H1500W26,H1500W27,H1500W28,H1500W30,H1500W32,H1500W33,H1500W35,H1500W36,H1500W37,H1500W38,H1500W39,H1500W40,H1500W41,H1500W43,H3000W22,H3000W25,H3000W26,H3000W27,H3000W28,H3000W30,H3000W33,H3000W34,H3000W35,H3000W36,H3000W37,H3000W38,H3000W39,H3000W40,H3000W41,H3000W42,H3000W46
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,36,2007,ALEXANDER_36_2007,10ALX,9/4/07,PID191861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,37,2007,ALEXANDER_37_2007,11ALT,9/11/07,PID191862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,37,2007,ALEXANDER_37_2007,12ALX,9/12/07,PID191863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,37,2007,ALEXANDER_37_2007,13ALX,9/11/07,PID191864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,34,2007,ALEXANDER_34_2007,1ALX,8/19/07,PID191865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,34,2007,ALEXANDER_34_2007,2ALX,8/19/07,PID191870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,35,2007,ALEXANDER_35_2007,3ALX,8/27/07,PID191871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,35,2007,ALEXANDER_35_2007,4ALX,8/27/07,PID191872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,35,2007,ALEXANDER_35_2007,5ALX,8/27/07,PID191873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,35,2007,ALEXANDER_35_2007,6ALX,8/27/07,PID191874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,36,2007,ALEXANDER_36_2007,7ALX,9/4/07,PID191875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,36,2007,ALEXANDER_36_2007,8ALX,9/4/07,PID191876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62914,ALEXANDER,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.195301,37.056426,Culex,36,2007,ALEXANDER_36_2007,9ALX,9/4/07,PID191877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,34,2007,PULASKI_34_2007,1PUL,8/19/07,PID193129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,17,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,35,2007,PULASKI_35_2007,2PUL,8/27/07,PID193134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,36,2007,PULASKI_36_2007,3PUL,9/4/07,PID193136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,37,2007,PULASKI_37_2007,4PUL,9/11/07,PID193138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62964,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.201504,37.122778,Culex,37,2007,PULASKI_37_2007,5PUL,9/11/07,PID193140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.536313,37.610318,Culex,28,2007,SALINE_28_2007,SAL16-07,7/12/07,PID192374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,22,2007,JACKSON_22_2007,07-006-001,5/29/07,PID192811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,22,2007,JACKSON_22_2007,07-006-002,5/29/07,PID192812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,22,2007,JACKSON_22_2007,07-006-003,5/29/07,PID192813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,28,2007,JACKSON_28_2007,07-006-004,7/9/07,PID192814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,28,2007,JACKSON_28_2007,07-006-005,7/9/07,PID192815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,28,2007,JACKSON_28_2007,07-006-006,7/9/07,PID192816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,28,2007,JACKSON_28_2007,07-006-007,7/9/07,PID192817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,14,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,36,2007,JACKSON_36_2007,07-006-008,9/4/07,PID192818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62917,SALINE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.634606,37.679673,Culex,34,2007,SALINE_34_2007,SAL31-07,8/22/07,PID191930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62917,SALINE,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.634606,37.679673,Culex,22,2007,SALINE_22_2007,SAL6-07,6/1/07,PID191937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62917,SALINE,GRAVID TRAP,18,Female,VECWNV,NEGATIVE,0,-88.625916,37.683668,Culex,36,2007,SALINE_36_2007,SAL32-07,9/6/07,PID191931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62917,SALINE,GRAVID TRAP,18,Female,VECWNV,NEGATIVE,0,-88.570203,37.685352,Culex,28,2007,SALINE_28_2007,SAL15-07,7/12/07,PID191913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62917,SALINE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.570203,37.685352,Culex,34,2007,SALINE_34_2007,SAL30-07,8/22/07,PID191929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.140569,37.690516,Culex,33,2007,GALLATIN_33_2007,GAL-22-07,8/16/07,PID194364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.140569,37.690516,Culex,33,2007,GALLATIN_33_2007,GAL-23-07,8/16/07,PID194367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
