COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W31,H1500W33,H1500W36,H1500W38,H1500W39,H3000W30,H3000W31,H3000W33,H3000W35,H3000W36,H3000W37,H3000W38,H3000W39,H3000W40
60560,KENDALL,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-89.1185,36.107,Culex,23,2008,KENDALL_23_2008,KEN14,6/4/08,PID108796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60560,KENDALL,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-89.1185,36.107,Culex,24,2008,KENDALL_24_2008,KEN18,6/11/08,PID108798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60560,KENDALL,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.1185,36.107,Culex,24,2008,KENDALL_24_2008,KEN19,6/11/08,PID108799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60560,KENDALL,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-89.1185,36.107,Culex,26,2008,KENDALL_26_2008,KEN23,6/25/08,PID108800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60560,KENDALL,GRAVID TRAP,30,Female,RAMP WNV,NEGATIVE,0,-89.1185,36.107,Culex,27,2008,KENDALL_27_2008,KEN26,7/2/08,PID108802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60560,KENDALL,GRAVID TRAP,49,Female,RAMP WNV,NEGATIVE,0,-89.1185,36.107,Culex,27,2008,KENDALL_27_2008,KEN30,7/2/08,PID108804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,18,Female,VECWNV,NEGATIVE,0,-89.19378,36.45615,Culex,22,2008,JACKSON_22_2008,08-045-001,5/29/08,PID193534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,97,Female,VECWNV,NEGATIVE,0,-89.2079,36.46693,Culex,22,2008,JACKSON_22_2008,08-041-001,5/29/08,PID193525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.2079,36.46693,Culex,28,2008,JACKSON_28_2008,08-041-002,7/7/08,PID193526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.2079,36.46693,Culex,28,2008,JACKSON_28_2008,08-041-003,7/7/08,PID193527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
