COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W31,H1500W33,H1500W34,H3000W34
60002,LAKE,GRAVID TRAP,5,Female,RAMP WNV,NEGATIVE,0,-88.10696,42.46788,Culex,23,2009,LAKE_23_2009,700-0040,6/11/09,PID000042,0,0,0,0
60002,LAKE,GRAVID TRAP,5,Female,RAMP WNV,NEGATIVE,0,-88.10696,42.46788,Culex,25,2009,LAKE_25_2009,700-0149,6/25/09,PID000043,0,0,0,0
60002,LAKE,GRAVID TRAP,5,Female,RAMP WNV,NEGATIVE,0,-88.10696,42.46788,Culex,27,2009,LAKE_27_2009,700-0262,7/10/09,PID000044,0,0,0,0
60002,LAKE,GRAVID TRAP,9,Female,RAMP WNV,NEGATIVE,0,-88.10696,42.46788,Culex,29,2009,LAKE_29_2009,700-0394,7/23/09,PID000045,0,0,0,0
60002,LAKE,GRAVID TRAP,6,Female,RAMP WNV,NEGATIVE,0,-88.10696,42.46788,Culex,31,2009,LAKE_31_2009,700-0521,8/6/09,PID000046,0,0,0,0
60002,LAKE,GRAVID TRAP,5,Female,RAMP WNV,NEGATIVE,0,-88.10696,42.46788,Culex,35,2009,LAKE_35_2009,700-0768,9/3/09,PID000047,0,0,0,0
60002,LAKE,GRAVID TRAP,6,Female,RAMP WNV,NEGATIVE,0,-88.10696,42.46788,Culex,36,2009,LAKE_36_2009,700-0827,9/11/09,PID000048,0,0,0,0
60002,LAKE,GRAVID TRAP,1,Female,RAMP WNV,NEGATIVE,0,-88.10696,42.46788,Culex,38,2009,LAKE_38_2009,700-0941,9/24/09,PID000049,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,23,2009,COOK_23_2009,104,6/10/09,PID000069,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,23,2009,COOK_23_2009,105,6/10/09,PID000073,0,0,0,0
60005,COOK,GRAVID TRAP,35,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,24,2009,COOK_24_2009,139,6/14/09,PID000155,0,0,0,0
60005,COOK,GRAVID TRAP,45,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,24,2009,COOK_24_2009,140,6/14/09,PID000158,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,24,2009,COOK_24_2009,161,6/17/09,PID000194,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,24,2009,COOK_24_2009,162,6/17/09,PID000196,0,0,0,0
60005,COOK,GRAVID TRAP,35,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,25,2009,COOK_25_2009,186,6/21/09,PID000219,0,0,0,0
60005,COOK,GRAVID TRAP,45,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,25,2009,COOK_25_2009,187,6/21/09,PID000221,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,25,2009,COOK_25_2009,188,6/21/09,PID000223,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,25,2009,COOK_25_2009,213,6/24/09,PID000239,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,25,2009,COOK_25_2009,214,6/24/09,PID000240,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2009,COOK_26_2009,234,6/28/09,PID000253,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2009,COOK_26_2009,235,6/28/09,PID000256,0,0,0,0
60005,COOK,GRAVID TRAP,30,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2009,COOK_27_2009,256,7/5/09,PID000269,0,0,0,0
60005,COOK,GRAVID TRAP,37,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2009,COOK_27_2009,257,7/5/09,PID000272,0,0,0,0
60005,COOK,GRAVID TRAP,36,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,22,2009,COOK_22_2009,28,5/31/09,PID000297,0,0,0,0
60005,COOK,GRAVID TRAP,20,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2009,COOK_27_2009,284,7/8/09,PID000302,0,0,0,0
60005,COOK,GRAVID TRAP,28,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2009,COOK_27_2009,285,7/8/09,PID000303,0,0,0,0
60005,COOK,GRAVID TRAP,24,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,22,2009,COOK_22_2009,29,5/31/09,PID000304,0,0,0,0
60005,COOK,GRAVID TRAP,25,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2009,COOK_27_2009,312,7/9/09,PID000320,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,28,2009,COOK_28_2009,343,7/15/09,PID000345,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,28,2009,COOK_28_2009,344,7/15/09,PID000346,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,28,2009,COOK_28_2009,345,7/15/09,PID000348,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,29,2009,COOK_29_2009,365,7/19/09,PID000362,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,29,2009,COOK_29_2009,366,7/19/09,PID000364,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,29,2009,COOK_29_2009,367,7/19/09,PID000365,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,29,2009,COOK_29_2009,397,7/22/09,PID000393,0,0,0,0
60005,COOK,GRAVID TRAP,53,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,29,2009,COOK_29_2009,398,7/22/09,PID000394,0,0,0,0
60005,COOK,GRAVID TRAP,56,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,29,2009,COOK_29_2009,399,7/22/09,PID000396,0,0,0,0
60005,COOK,GRAVID TRAP,30,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,30,2009,COOK_30_2009,429,7/26/09,PID000413,0,0,0,0
60005,COOK,GRAVID TRAP,40,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,30,2009,COOK_30_2009,430,7/26/09,PID000417,0,0,0,0
60005,COOK,GRAVID TRAP,44,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,30,2009,COOK_30_2009,468,7/26/09,PID000439,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,30,2009,COOK_30_2009,478,7/29/09,PID000446,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,30,2009,COOK_30_2009,479,7/29/09,PID000448,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,30,2009,COOK_30_2009,480,7/29/09,PID000450,0,0,0,0
60005,COOK,GRAVID TRAP,47,Female,VECWNV,NEGATIVE,0,-87.9759,42.079433,Culex,30,2009,COOK_30_2009,515,7/29/09,PID000467,0,0,0,0
60005,COOK,GRAVID TRAP,23,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,30,2009,COOK_30_2009,524,7/30/09,PID000472,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,31,2009,COOK_31_2009,541,8/4/09,PID000487,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,31,2009,COOK_31_2009,542,8/4/09,PID000489,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,32,2009,COOK_32_2009,557,8/9/09,PID000495,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,32,2009,COOK_32_2009,558,8/9/09,PID000498,0,0,0,0
60005,COOK,GRAVID TRAP,28,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,32,2009,COOK_32_2009,573,8/10/09,PID000508,0,0,0,0
60005,COOK,GRAVID TRAP,33,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,32,2009,COOK_32_2009,574,8/11/09,PID000510,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,22,2009,COOK_22_2009,58,6/3/09,PID000514,0,0,0,0
60005,COOK,GRAVID TRAP,20,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,32,2009,COOK_32_2009,593,8/12/09,PID000524,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,33,2009,COOK_33_2009,614,8/16/09,PID000543,0,0,0,0
