COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W28,H1500W31,H1500W33,H1500W34,H1500W35,H1500W36,H1500W37,H3000W28,H3000W32,H3000W33,H3000W34,H3000W35,H3000W36,H3000W37,H3000W39,H3000W41
60005,COOK,GRAVID TRAP,30,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2011,COOK_26_2011,100,6/26/11,PID000050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,27,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2011,COOK_26_2011,101,6/26/11,PID000055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,23,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2011,COOK_26_2011,121,6/27/11,PID000121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,36,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2011,COOK_26_2011,122,6/28/11,PID000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,25,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2011,COOK_26_2011,138,6/29/11,PID000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,36,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2011,COOK_26_2011,139,6/29/11,PID000156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,28,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,23,2011,COOK_23_2011,14,6/8/11,PID000157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2011,COOK_27_2011,146,7/4/11,PID000172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2011,COOK_27_2011,147,7/4/11,PID000174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,49,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2011,COOK_27_2011,186,7/5/11,PID000220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,45,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2011,COOK_27_2011,198,7/6/11,PID000230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,48,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2011,COOK_27_2011,199,7/6/11,PID000231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,37,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2011,COOK_27_2011,200,7/6/11,PID000232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,35,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2011,COOK_27_2011,218,7/7/11,PID000242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,28,2011,COOK_28_2011,219,7/10/11,PID000244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,28,2011,COOK_28_2011,220,7/10/11,PID000246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
