COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W12,H1500W28,H1500W29,H1500W30,H1500W31,H1500W32,H1500W33,H1500W34,H1500W35,H1500W36,H1500W37,H1500W38,H1500W40,H1500W41,H1500W45,H3000W12,H3000W27,H3000W28,H3000W29,H3000W30,H3000W31,H3000W32,H3000W33,H3000W34,H3000W35,H3000W36,H3000W37,H3000W38,H3000W39,H3000W40,H3000W41
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,35,2012,COOK_35_2012,1004,8/30/12,PID000052,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,36,2012,COOK_36_2012,1022,9/3/12,PID000062,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,36,2012,COOK_36_2012,1046,9/4/12,PID000072,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,36,2012,COOK_36_2012,1063,9/5/12,PID000082,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,13,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,24,2012,COOK_24_2012,107,6/14/12,PID000083,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,36,2012,COOK_36_2012,1076,9/6/12,PID000085,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,27,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,37,2012,COOK_37_2012,1084,9/9/12,PID000089,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,27,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,37,2012,COOK_37_2012,1106,9/10/12,PID000091,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,31,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,37,2012,COOK_37_2012,1114,9/11/12,PID000093,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,18,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,37,2012,COOK_37_2012,1118,9/12/12,PID000098,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,28,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,38,2012,COOK_38_2012,1141,9/16/12,PID000105,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,43,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,38,2012,COOK_38_2012,1156,9/18/12,PID000107,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,25,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,25,2012,COOK_25_2012,136,6/19/12,PID000146,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,47,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,25,2012,COOK_25_2012,137,6/20/12,PID000149,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,47,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2012,COOK_26_2012,171,6/24/12,PID000208,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,15,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2012,COOK_26_2012,200,6/25/12,PID000233,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,37,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2012,COOK_26_2012,201,6/26/12,PID000234,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,54,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,26,2012,COOK_26_2012,220,6/27/12,PID000247,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,26,2012,COOK_26_2012,234,6/28/12,PID000254,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2012,COOK_26_2012,235,6/28/12,PID000257,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,26,2012,COOK_26_2012,236,6/28/12,PID000259,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,26,2012,COOK_26_2012,237,6/28/12,PID000260,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2012,COOK_27_2012,276,7/1/12,PID000293,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2012,COOK_27_2012,277,7/1/12,PID000294,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,27,2012,COOK_27_2012,278,7/1/12,PID000295,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2012,COOK_27_2012,279,7/1/12,PID000296,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,27,2012,COOK_27_2012,292,7/2/12,PID000306,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,27,2012,COOK_27_2012,293,7/2/12,PID000307,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2012,COOK_27_2012,294,7/2/12,PID000308,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,27,2012,COOK_27_2012,295,7/2/12,PID000311,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2012,COOK_27_2012,327,7/4/12,PID000329,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,27,2012,COOK_27_2012,328,7/4/12,PID000331,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,NEGATIVE,0,-87.9759,42.079433,Culex,27,2012,COOK_27_2012,329,7/4/12,PID000334,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,PCRWNV,POSITIVE,1,-87.9759,42.079433,Culex,27,2012,COOK_27_2012,330,7/4/12,PID000336,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
