COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W32,H1500W34,H1500W35,H1500W36,H1500W37,H1500W38,H1500W39,H1500W40,H3000W32,H3000W33,H3000W34,H3000W35,H3000W36,H3000W37,H3000W38,H3000W39,H3000W40,H3000W45
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,23,2013,COOK_23_2013,104,41428,PID000070,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
60005,COOK,GRAVID TRAP,37,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,23,2013,COOK_23_2013,125,41430,PID000128,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,24,2013,COOK_24_2013,136,41437,PID000147,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,24,2013,COOK_24_2013,164,41436,PID000200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.9759,42.079433,Culex,22,2013,COOK_22_2013,54,41422,PID000485,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
60007,COOK,GRAVID TRAP,54,Female,RAMP WNV,NEGATIVE,0,-87.953531,42.01279,Culex,23,2013,COOK_23_2013,101,41429,PID000809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,33,Female,RAMP WNV,NEGATIVE,0,-87.97607,42.02747,Culex,23,2013,COOK_23_2013,107,41428,PID000851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,42,Female,RAMP WNV,NEGATIVE,0,-87.953531,42.01279,Culex,23,2013,COOK_23_2013,115,41430,PID000912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-88.04102,42.00442,Culex,23,2013,COOK_23_2013,116,41430,PID000917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,36,Female,RAMP WNV,NEGATIVE,0,-87.97607,42.02747,Culex,23,2013,COOK_23_2013,132,41430,PID000993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.953531,42.01279,Culex,24,2013,COOK_24_2013,143,41437,PID001031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-88.04102,42.00442,Culex,24,2013,COOK_24_2013,145,41437,PID001045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.97607,42.02747,Culex,24,2013,COOK_24_2013,150,41437,PID001069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-88.04102,42.00442,Culex,24,2013,COOK_24_2013,158,41436,PID001094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.97607,42.02747,Culex,24,2013,COOK_24_2013,162,41436,PID001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.953531,42.01279,Culex,24,2013,COOK_24_2013,178,41436,PID001175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.953531,42.01279,Culex,22,2013,COOK_22_2013,50,41422,PID001742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,33,Female,RAMP WNV,NEGATIVE,0,-87.97607,42.02747,Culex,22,2013,COOK_22_2013,62,41422,PID001948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007,COOK,GRAVID TRAP,37,Female,RAMP WNV,NEGATIVE,0,-88.04102,42.00442,Culex,23,2013,COOK_23_2013,94,41429,PID002417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60008,COOK,GRAVID TRAP,24,Female,RAMP WNV,NEGATIVE,0,-88.027866,42.079233,Culex,23,2013,COOK_23_2013,117,41430,PID002585,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60008,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-88.027866,42.079233,Culex,24,2013,COOK_24_2013,151,41437,PID002631,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60008,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-88.027866,42.079233,Culex,24,2013,COOK_24_2013,174,41436,PID002672,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60008,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-88.027866,42.079233,Culex,23,2013,COOK_23_2013,92,41428,PID003131,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60010,LAKE,GRAVID TRAP,19,Female,RAMP WNV,NEGATIVE,0,-88.14516,42.16795,Culex,23,2013,LAKE_23_2013,013-0035,41432,PID003436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,LAKE,GRAVID TRAP,6,Female,RAMP WNV,NEGATIVE,0,-88.10638,42.175809,Culex,24,2013,LAKE_24_2013,013-0097,41439,PID003437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,LAKE,GRAVID TRAP,17,Female,RAMP WNV,NEGATIVE,0,-88.10638,42.175809,Culex,26,2013,LAKE_26_2013,013-0178,41452,PID003438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,LAKE,GRAVID TRAP,6,Female,RAMP WNV,NEGATIVE,0,-88.10638,42.175809,Culex,28,2013,LAKE_28_2013,013-0293,41466,PID003439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,LAKE,GRAVID TRAP,17,Female,RAMP WNV,NEGATIVE,0,-88.10638,42.175809,Culex,29,2013,LAKE_29_2013,013-0399,41473,PID003440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,LAKE,GRAVID TRAP,6,Female,RAMP WNV,NEGATIVE,0,-88.10638,42.175809,Culex,30,2013,LAKE_30_2013,013-0496,41481,PID003441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,LAKE,GRAVID TRAP,8,Female,RAMP WNV,NEGATIVE,0,-88.10638,42.175809,Culex,32,2013,LAKE_32_2013,013-0620,41494,PID003442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,LAKE,GRAVID TRAP,8,Female,RAMP WNV,NEGATIVE,0,-88.10638,42.175809,Culex,34,2013,LAKE_34_2013,013-0754,41508,PID003443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,LAKE,GRAVID TRAP,3,Female,RAMP WNV,NEGATIVE,0,-88.10638,42.175809,Culex,35,2013,LAKE_35_2013,013-0819,41515,PID003444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,LAKE,GRAVID TRAP,8,Female,RAMP WNV,NEGATIVE,0,-88.10638,42.175809,Culex,36,2013,LAKE_36_2013,013-0886,41523,PID003445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,LAKE,GRAVID TRAP,6,Female,RAMP WNV,NEGATIVE,0,-88.10638,42.175809,Culex,38,2013,LAKE_38_2013,013-0972,41536,PID003446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,COOK,GRAVID TRAP,37,Female,RAMP WNV,NEGATIVE,0,-88.16306,42.1139,Culex,23,2013,COOK_23_2013,109,41429,PID003549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,COOK,GRAVID TRAP,26,Female,RAMP WNV,NEGATIVE,0,-88.16306,42.1139,Culex,23,2013,COOK_23_2013,129,41430,PID003616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,COOK,GRAVID TRAP,30,Female,RAMP WNV,NEGATIVE,0,-88.1284,42.13776,Culex,23,2013,COOK_23_2013,131,41430,PID003621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-88.16306,42.1139,Culex,24,2013,COOK_24_2013,138,41437,PID003632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-88.1284,42.13776,Culex,24,2013,COOK_24_2013,149,41437,PID003669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-88.16306,42.1139,Culex,24,2013,COOK_24_2013,161,41436,PID003693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
