COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W31,H1500W33,H1500W34,H1500W35,H1500W36,H1500W38,H1500W40,H1500W43,H3000W31,H3000W32,H3000W33,H3000W34,H3000W35,H3000W36,H3000W37,H3000W38,H3000W39,H3000W40,H3000W43
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,22,2015,COOK_22_2015,100,6/2/15,PID000051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,22,2015,COOK_22_2015,102,6/3/15,PID000060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2015,COOK_31_2015,1025,8/5/15,PID000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2015,COOK_31_2015,1026,8/5/15,PID000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,22,2015,COOK_22_2015,105,6/5/15,PID000074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,-87.998563,42.083591,Culex,31,2015,COOK_31_2015,1056,8/6/15,PID000077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2015,COOK_31_2015,1057,8/6/15,PID000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2015,COOK_31_2015,1083,8/7/15,PID000088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,-87.998563,42.083591,Culex,31,2015,COOK_31_2015,1084,8/7/15,PID000090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2015,COOK_31_2015,1116,8/8/15,PID000096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
