COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W28,H1500W30,H1500W31,H1500W32,H1500W33,H1500W34,H1500W35,H1500W36,H1500W37,H1500W38,H1500W39,H1500W40,H3000W24,H3000W28,H3000W30,H3000W31,H3000W32,H3000W33,H3000W34,H3000W35,H3000W36,H3000W37,H3000W38,H3000W39,H3000W40,H3000W42
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,23,2017,COOK_23_2017,105,6/10/17,PID000075,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,23,2017,COOK_23_2017,107,6/10/17,PID000084,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,38,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,24,2017,COOK_24_2017,111,6/13/17,PID000092,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,POSITIVE,1,-87.998563,42.083591,Culex,24,2017,COOK_24_2017,137,6/16/17,PID000150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,24,2017,COOK_24_2017,161,6/17/17,PID000195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,26,2017,COOK_26_2017,255,6/27/17,PID000267,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,3,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,22,2017,COOK_22_2017,26,5/31/17,PID000276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,42,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,26,2017,COOK_26_2017,268,6/28/17,PID000285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,8,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,26,2017,COOK_26_2017,272,6/29/17,PID000289,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,26,2017,COOK_26_2017,283,6/30/17,PID000300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,26,2017,COOK_26_2017,328,7/1/17,PID000333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,26,2017,COOK_26_2017,330,7/1/17,PID000337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,27,2017,COOK_27_2017,342,7/6/17,PID000344,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,27,2017,COOK_27_2017,356,7/6/17,PID000356,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,30,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,27,2017,COOK_27_2017,375,7/8/17,PID000370,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,28,2017,COOK_28_2017,392,7/11/17,PID000390,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,27,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,28,2017,COOK_28_2017,418,7/12/17,PID000409,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,26,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,28,2017,COOK_28_2017,446,7/14/17,PID000427,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,15,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,28,2017,COOK_28_2017,459,7/15/17,PID000433,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,6,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,29,2017,COOK_29_2017,482,7/18/17,PID000451,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,18,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,29,2017,COOK_29_2017,519,7/19/17,PID000470,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,29,2017,COOK_29_2017,552,7/21/17,PID000492,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,18,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,22,2017,COOK_22_2017,59,6/3/17,PID000520,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,1,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,30,2017,COOK_30_2017,590,7/25/17,PID000521,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,29,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,30,2017,COOK_30_2017,634,7/28/17,PID000562,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,25,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2017,COOK_31_2017,657,8/1/17,PID000587,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,37,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2017,COOK_31_2017,690,8/3/17,PID000626,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,21,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,31,2017,COOK_31_2017,729,8/4/17,PID000649,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,8,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,32,2017,COOK_32_2017,750,8/8/17,PID000669,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,18,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,23,2017,COOK_23_2017,78,6/6/17,PID000688,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,32,2017,COOK_32_2017,789,8/9/17,PID000698,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,10,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,32,2017,COOK_32_2017,810,8/12/17,PID000710,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,12,Female,RAMP WNV,POSITIVE,1,-87.998563,42.083591,Culex,33,2017,COOK_33_2017,826,8/15/17,PID000723,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,48,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,34,2017,COOK_34_2017,889,8/26/17,PID000749,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,50,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,23,2017,COOK_23_2017,90,6/9/17,PID000754,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60005,COOK,GRAVID TRAP,1,Female,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,Culex,35,2017,COOK_35_2017,911,8/30/17,PID000759,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
